#bookid	if(downnum>100,if(downnum>400,2,1),0)	if(opennum>100,if(opennum>400,2,1),0)	if(averagestaytime>300,if(averagestaytime>500,2,1),0)	if(downnum > 400,1,0)
7477	0	0	0	0
7776	0	0	0	0
7882	0	0	0	0
234	0	0	0	0
248	0	0	0	0
4325	0	0	0	0
4345	0	0	0	0
4376	0	0	0	0
4473	0	0	2	0
4635	0	0	0	0
4658	0	0	1	0
4720	0	0	0	0
4767	0	0	0	0
4813	0	0	0	0
4826	0	0	0	0
4862	0	0	2	0
4883	0	0	0	0
4918	0	0	0	0
4944	0	0	0	0
4952	0	0	2	0
5016	0	0	1	0
5050	0	0	0	0
5119	0	0	2	0
5133	0	0	1	0
5142	0	0	0	0
5157	0	0	0	0
5170	0	0	0	0
5212	0	0	0	0
5285	0	0	0	0
5509	0	0	0	0
5582	0	0	0	0
5593	0	0	2	0
5605	0	0	0	0
5737	0	0	2	0
5782	0	0	0	0
5798	0	0	0	0
5856	0	0	0	0
5870	0	0	0	0
5882	0	0	1	0
5902	0	0	0	0
5930	0	0	0	0
5940	0	0	0	0
5970	0	0	1	0
5989	0	0	1	0
6034	0	0	0	0
6118	0	0	2	0
6236	0	0	0	0
6329	0	0	0	0
6415	0	0	0	0
6677	0	0	2	0
6727	0	0	0	0
6778	0	0	0	0
6826	0	0	0	0
6870	0	0	0	0
6898	0	0	0	0
6911	0	0	0	0
6931	0	0	0	0
6988	0	0	0	0
6989	0	0	0	0
6991	0	0	0	0
6998	0	0	1	0
7028	0	0	1	0
7039	0	0	0	0
7042	0	0	2	0
7062	0	0	2	0
7097	0	0	2	0
7183	0	0	0	0
7205	0	0	0	0
7247	0	0	0	0
7279	0	0	0	0
7282	0	0	2	0
7321	0	0	0	0
7337	0	0	0	0
7339	0	0	0	0
7400	0	0	1	0
7403	0	0	0	0
7407	0	0	2	0
7459	0	0	0	0
7524	0	0	0	0
7554	0	0	0	0
7574	0	0	0	0
7576	0	0	0	0
7634	0	0	0	0
7662	0	0	0	0
7695	0	0	0	0
7699	0	0	2	0
7710	0	0	0	0
7738	0	0	1	0
7757	0	0	0	0
7833	0	0	0	0
7863	0	0	1	0
7895	0	0	0	0
7911	0	0	0	0
7927	0	0	0	0
7931	0	0	1	0
7944	0	0	0	0
8041	0	0	0	0
32	0	0	2	0
38	0	0	0	0
53	0	0	0	0
65	0	0	2	0
77	0	0	1	0
83	0	0	2	0
103	0	0	1	0
138	0	0	0	0
170	0	0	2	0
247	0	0	1	0
4188	0	0	2	0
4207	0	0	2	0
4380	0	0	2	0
4396	0	0	0	0
4514	0	0	1	0
4586	0	0	2	0
4617	0	0	0	0
5194	0	0	2	0
5467	0	0	0	0
5853	0	0	1	0
6901	0	0	0	0
7121	0	0	0	0
7480	0	0	0	0
7591	0	0	1	0
7640	0	0	0	0
8000	0	0	0	0
255	0	0	0	0
4258	0	0	0	0
4323	0	0	0	0
4388	0	0	1	0
4606	0	0	0	0
4659	0	0	1	0
4667	0	0	2	0
4688	0	0	0	0
4721	0	0	0	0
4722	0	0	0	0
4770	0	0	1	0
4792	0	0	0	0
4806	0	0	1	0
4817	0	0	2	0
4890	0	0	0	0
4915	0	0	0	0
5062	0	0	0	0
5064	0	0	2	0
5101	0	0	0	0
5123	0	0	0	0
5129	0	0	2	0
5141	0	0	0	0
5177	0	0	2	0
5203	0	0	0	0
5207	0	0	0	0
5208	0	0	2	0
5243	0	0	0	0
